م;"أســماء اللجنان النقابية 
 بالشـــــــركات";;;;;
6;نقدية بالبنوك والخزينة;1200;أذون الخزانة;1206;;
7;نقدية بالبنوك والخزينة;1200;قروض ;1207;;
8;نقدية بالبنوك والخزينة;1200;الودائع;1208;;
9;نقدية بالبنوك والخزينة;1200;استثمارات طويلة الاجل ( اسهم بنك التنمية الصناعية والعمال المصرى );1209;;
1;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك أجهزة الكترونية وكهربائية;2101;;
2;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك اثاث وأجهزة;2102;;
3;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك حاسب الى;2103;;
4;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك سيارات;2104;;
5;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك إضافات الأصول من 2003 وحتى 2021;2105;;
6;مجمع اهلاك أصول ثابتة;2100;مجمع اهلاك مبانى وانشاءات;2106;;
1;الالتزامات المتداولة;2200;ضريبة كسب العمل;2201;;
2;الالتزامات المتداولة;2200;ضرائب الخصم والاضافة;2202;;
3;الالتزامات المتداولة;2200;أقساط النفقة;2203;;
4;الالتزامات المتداولة;2200;أقساط قروض بنك التنمية لبعض العاملين;2204;;
5;الالتزامات المتداولة;2200;التأمينات الاجتماعية;2205;;
6;الالتزامات المتداولة;2200;خصم كورونا;2206;;
7;الالتزامات المتداولة;2200;خصم جزاءات;2207;;
8;الالتزامات المتداولة;2200;مهنية دمياط ;2208;;
9;الالتزامات المتداولة;2200;أقساط تامين;2209;;
10;الالتزامات المتداولة;2200;تامين تكافلى;2210;;
11;الالتزامات المتداولة;2200;دمغة;2211;;
12;الالتزامات المتداولة;2200;حصص اللجان النقابية( مستحق );2212;;
13;الالتزامات المتداولة;2200;قروض بنك التنمية و العمال;2213;;
14;الالتزامات المتداولة;2200;تامينات عاملين مستقطعه وتسدد لمكاتب تامينات بالمحافظات;2214;;
1;مصروفات النقابـة;3000;"مناسبات 
متنوعة";3001;;
2;مصروفات النقابـة;3000;علاج ومستلزمات طبية;3002;;
3;مصروفات النقابـة;3000;"مصاريف 
محاماة";3003;;
4;مصروفات النقابـة;3000;مصاريف وساطة ;3004;;
5;مصروفات النقابـة;3000;"بدل 
لتفرغ 
";3005;;
6;مصروفات النقابـة;3000;"بدلات أعضاء مجلس الادارة
";3006;;
7;مصروفات النقابـة;3000;حافزاعياد ومناسبات;3007;;
8;مصروفات النقابـة;3000;تعويضات ومساهمات;3008;;
9;مصروفات النقابـة;3000;اتعاب محاسبة;3009;;
10;مصروفات النقابـة;3000;"بدل 
جلسات";3010;;
11;مصروفات النقابـة;3000;"اشتراكات
 الاتحاد الدولى";3011;;
12;مصروفات النقابـة;3000;مكاتب شئون العضوية;3012;;
13;مصروفات النقابـة;3000;اعانات اجتماعية;3013;;
14;مصروفات النقابـة;3000;لجان ثلاثية;3014;;
15;مصروفات النقابـة;3000;مجمع لجان الإسكندرية;3015;;
16;مصروفات النقابـة;3000;عمارة المعادى;3016;;
17;مصروفات النقابـة;3000;حصص اللجان النقابية بالشركات من الاشتركات;3017;;
18;مصروفات النقابـة;3000;مصروفات مصيف مطروح;3018;;
19;مصروفات النقابـة;3000;مصروفات مصيف جمصة;3019;;
20;مصروفات النقابـة;3000;مصروفات إدارية المقر الرئيسى;3020;;
21;مصروفات النقابـة;3000;"بدلات سفر خارجية
";3021;;
22;مصروفات النقابـة;3000;نشاط اجتماعى وثقافى;3022;;
1; إيرادات النقابة;4000;إيرادات من حصص اللجان المهنية;4001;;
